POINT_X,POINT_Y
-1616783.63189000000,504760.68499800000
1795440.14923000000,-362370.81899900000
-1832158.68469000000,-63922.02388110000
-32367.26591580000,-471950.13352500000
921962.09864300000,-347710.32990800000
-1963842.50075000000,-53542.71563090000
1958283.43576000000,-649182.87833900000
-1785902.94295000000,-645806.52556500000
-1032274.47397000000,-1408742.42779000000
1064085.83748000000,-662954.45659000000
494081.46755600000,6098.28418816000
962545.98212200000,-273330.84655200000
2126009.32745000000,323974.45098500000
871338.93929300000,-113570.46057200000
-1556167.89121000000,383282.51805200000
1489665.96669000000,-1379740.09816000000
1955534.70100000000,56774.96389190000
572314.04415700000,278953.17194700000
-789328.88350700000,-470239.40878400000
-1649569.15681000000,-1023375.45188000000
-1993599.06748000000,-251281.82026000000
-1734261.66913000000,-418791.36968400000
954506.51561000000,-280975.77878500000
-1719764.95996000000,331808.21463900000
911595.80526600000,-92186.18110640000
1107154.46075000000,14415.65208060000
1307664.61805000000,-547343.51946200000
2316185.15270000000,563306.73185200000
2202499.28033000000,173023.73643600000
1412171.04351000000,-834426.25107200000
2334473.18874000000,398315.54785100000
-590203.97127200000,-1073154.07783000000
1857790.80246000000,-341342.23151600000
1222501.05541000000,-1063271.75227000000
-152402.41489200000,-706033.82113500000
1432847.49435000000,-246521.09743000000
-1993716.40112000000,-163981.68413400000
2002056.60886000000,-375980.46004600000
1056612.71389000000,274322.44754300000
-752637.76906000000,-621617.09537000000
1776690.06731000000,-1231807.82399000000
-1744808.26226000000,-625023.58373900000
1175276.43580000000,206945.09188300000
1670770.79709000000,-836100.49148300000
1924227.20928000000,-556239.78036400000
2203382.37243000000,298527.25924900000
459256.63829700000,-731586.00677700000
-1032278.13950000000,-1408775.42224000000
-1078683.23491000000,246497.73800000000
954552.09689900000,-290107.46687500000
1378961.12794000000,-123089.29788500000
2028691.63266000000,-353542.18512000000
-1864468.75941000000,-367816.53191900000
1962016.44059000000,-1765825.59752000000
-1145394.80113000000,-1077229.06829000000
2078051.35496000000,-191471.92194600000
2140908.69274000000,-36578.14973420000
804127.40864200000,-649196.69818000000
1887966.25190000000,-525478.27277900000
-1673936.59729000000,529705.99086200000
-1770464.26634000000,209972.24016700000
-1950064.48217000000,-507835.07908500000
1729588.45706000000,-355310.77973500000
1103944.43068000000,-1052669.20948000000
1262168.36173000000,-971431.87369000000
-1069488.60013000000,-1432109.55605000000
1896549.15424000000,35125.77362040000
1820629.61084000000,-501676.31398900000
1974161.39063000000,-275038.17314600000
-1399624.41725000000,534587.70834300000
-430434.12286700000,-565142.88793000000
2320982.24248000000,248430.17790300000
-125720.17080100000,-1066835.39168000000
1641170.33998000000,-234134.71783800000
-1845599.06233000000,-65606.59239910000
2224544.35291000000,75373.61405970000
495728.97396400000,-1327518.57296000000
2097396.09788000000,254134.07638000000
-1638733.75307000000,-1007909.54541000000
-1930403.94877000000,-524775.58653500000
1906884.08910000000,-377719.01844200000
942294.31461900000,30851.61294250000
-1709887.88773000000,-400274.03528700000
1997204.80441000000,-188719.14644400000
1802874.28598000000,-1526289.82944000000
1699073.38314000000,-257372.49365800000
323739.26583500000,-462597.21044700000
-1662414.36727000000,-1074514.03756000000
-1652635.84381000000,-631363.18540500000
212189.27664700000,-1637239.96645000000
849098.25888600000,-645014.09681200000
-716503.77278900000,-11710.88752990000
-448423.47444600000,-548278.36073900000
2062035.61307000000,-221496.08715600000
1810534.81117000000,-1870153.56541000000
-717478.67447500000,111004.59368500000
1754715.87120000000,-702080.05952200000
-1937213.58540000000,-681278.79190900000
-436397.01953600000,-655045.95770800000
-1603262.57269000000,-157660.26470000000
-940078.98333800000,-273676.30736800000
-587798.25086900000,-621768.97531700000
2003196.17968000000,96119.47680180000
-1468826.47704000000,-1143435.19775000000
-1679878.89832000000,-762908.96105600000
1329914.45867000000,-169612.43633000000
155233.01465400000,-1581978.19718000000
1995638.54518000000,112930.35038000000
488836.04350700000,-1693450.03431000000
-1752454.57861000000,-898406.83995800000
-1653700.68612000000,189403.93620500000
-1920046.35203000000,-484895.95812300000
-1686447.03151000000,-502454.56590400000
2199591.89474000000,79271.91940760000
1352956.59348000000,-554410.08934000000
1727680.27912000000,21059.19248560000
